id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4670815323293652,KtIegdOPq,2676828957,零度时评,【这个老太太栽了！#老人进商场拒出示健康码还吐口水#】这段时间，新冠疫情出现反弹的趋势，各个地方都做出了相应的防护措施，可有人偏偏不信邪，还做出让人匪夷所思的举动。这不，在江苏常州的一个商场内，就有一个老太太栽了！L零度时评的微博视频,,,,老人进商场拒出示健康码还吐口水,0,0,0,2021-08-16 13:43,微博视频号,,"http://f.video.weibocdn.com/003atssFgx07P4iJhMk001041200xO9z0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007200&ssig=cMmeAAsMBQ&KID=unistore,video",,,蓝V
4668787040977985,KsRsQ46pX,5097272168,内蒙古检察,【#老人进商场拒出示健康码还吐口水#已被行拘】L内蒙古检察的微博视频,,,,老人进商场拒出示健康码还吐口水,0,0,1,2021-08-10 23:23,微博视频号,,"http://f.video.weibocdn.com/R90IgSoPlx07OVndmiww01041200fqKO0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007200&ssig=qOy%2FDQio4F&KID=unistore,video",,,蓝V
4668250035586556,KsDuHnrjK,6849915621,江苏政法,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州一对老年夫妇进入商场时不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。L中新视频的微博视频,,,,老人进商场拒出示健康码还吐口水,6,3,1,2021-08-09 11:50,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007200&ssig=O6ixBkWlqT&KID=unistore,video",,,
4668703445092513,KsPi0lmNj,3685613812,连云港市连云区法院,【#老人进商场拒出示健康码还吐口水#已被行拘】,,,,老人进商场拒出示健康码还吐口水,0,0,1,2021-08-10 17:51,微博网页版,,,4668250035586556,,蓝V
4668351706040106,KsG8Gplj4,7096239778,长沙政法,【#老人进商场拒出示健康码还吐口水# 已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。（唐娟张传明）@中新视频 L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,0,0,2021-08-09 18:34,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007200&ssig=O6ixBkWlqT&KID=unistore,video",,,蓝V
4668320931908896,KsFl380AE,3832732575,连云检察,【#老人进商场拒出示健康码还吐口水#已被行拘】,,,,老人进商场拒出示健康码还吐口水,0,0,1,2021-08-09 16:31,搜狗高速浏览器,,,4668250035586556,,蓝V
4668316629862507,KsFe6FnGH,6796410218,也迪律所白律师,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,0,0,2021-08-09 16:14,华为手机,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007200&ssig=O6ixBkWlqT&KID=unistore,video",,,黄V
4668315572111651,KsFcp8RkT,5584055958,柳北检察,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,0,0,2021-08-09 16:10,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007200&ssig=O6ixBkWlqT&KID=unistore,video",,,蓝V
4668307916982031,KsF03tilp,1960785875,津云新闻,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,2,6,2021-08-09 15:40,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007200&ssig=O6ixBkWlqT&KID=unistore,video",,,蓝V
4668307011277987,KsEYB5msH,2255139900,中新社福建,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。（唐娟张传明）@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,0,0,2021-08-09 15:36,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007200&ssig=O6ixBkWlqT&KID=unistore,video",,,蓝V
4668305400402467,KsEW01GHp,1686785965,环球时报-英文版,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,1,4,1,2021-08-09 15:30,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007202&ssig=3hotngS5kd&KID=unistore,video",,,蓝V
4668277466600684,KsEcWrH8E,1914880192,文汇报,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。L中新视频的微博视频,,,,老人进商场拒出示健康码还吐口水,2,5,5,2021-08-09 13:39,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007202&ssig=3hotngS5kd&KID=unistore,video",,,蓝V
4668277206287225,KsEcwqnAR,1850111240,太仓公安,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。（唐娟张传明）via中新视频L中新视频的微博视频,,,,老人进商场拒出示健康码还吐口水,0,0,0,2021-08-09 13:38,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007202&ssig=3hotngS5kd&KID=unistore,video",,,蓝V
4668275201412054,KsE9i5Vl4,2131593523,羊城晚报金羊网,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。L中新视频的微博视频,,,,老人进商场拒出示健康码还吐口水,0,1,1,2021-08-09 13:30,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007202&ssig=3hotngS5kd&KID=unistore,video",,,蓝V
4668269028445571,KsDZkzr4T,3357577300,郫都综合执法,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,0,0,2021-08-09 13:05,iPhone客户端,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007202&ssig=3hotngS5kd&KID=unistore,video",,,蓝V
4668265546385947,KsDTIqNh9,1926811743,动听968,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,0,0,2021-08-09 12:51,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007202&ssig=3hotngS5kd&KID=unistore,video",,,蓝V
4668265480061562,KsDTC0g0W,1723304227,Hi柯磊,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,0,1,2021-08-09 12:51,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007202&ssig=3hotngS5kd&KID=unistore,video",,,黄V
4668262153196773,KsDOfdpCR,5917976377,益阳网警,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。L中新视频的微博视频,,,,老人进商场拒出示健康码还吐口水,0,0,0,2021-08-09 12:38,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007202&ssig=3hotngS5kd&KID=unistore,video",,,蓝V
4668261252207978,KsDMN9goy,5659014895,长沙网警,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。（唐娟张传明）@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,2,0,2021-08-09 12:34,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007202&ssig=3hotngS5kd&KID=unistore,video",,,蓝V
4668260090384865,KsDKV1C7v,3242792887,吉林日报,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。（唐娟张传明）L中新视频的微博视频,,,,老人进商场拒出示健康码还吐口水,0,0,0,2021-08-09 12:30,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007203&ssig=0SIkXjiWSv&KID=unistore,video",,,蓝V
4668252301297554,KsDym5ryi,1964198481,郴州市公安局,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。（唐娟张传明）@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,0,0,2021-08-09 11:59,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007203&ssig=0SIkXjiWSv&KID=unistore,video",,,蓝V
4668247704601055,KsDqWjiWz,5044208315,华亭检察,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。（唐娟张传明）@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,2,0,2021-08-09 11:40,Android,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007203&ssig=0SIkXjiWSv&KID=unistore,video",,,蓝V
4668245002947856,KsDmAcmS4,1974576991,环球时报,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,20,143,507,2021-08-09 11:30,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007203&ssig=0SIkXjiWSv&KID=unistore,video",,,蓝V
4668240766962073,KsDfKtd9v,1973743580,长沙警事,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。（唐娟张传明）@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,1,0,2021-08-09 11:13,iPhone客户端,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007203&ssig=0SIkXjiWSv&KID=unistore,video",,,蓝V
4668237867910226,KsDb4xbOi,7489227208,跃工场留学,#老人进商场拒出示健康码还吐口水#疫情之下，主动配合是公民的职责。#留学生#也要多多关注留学国家的疫情现状，做好各项准备。,,,,"老人进商场拒出示健康码还吐口水,留学生",0,0,0,2021-08-09 11:01,微博 weibo.com,,,,,蓝V
4668233682261246,KsD4k9ufI,1494913792,景德镇在线新闻网,【#老人进商场拒出示健康码还吐口水#已被行拘】近日，江苏常州，一对老年夫妇进入商场时，不肯向商场工作人员出示健康码，还自称从南京回常州。工作人员拒绝老人进商场后，老人不仅不听劝阻，依然要强行进入，还强搂工作人员并向围观民众吐口水。据常州当地警方调查，浦某（女68岁）、查某（男75岁）是本地人，并非南京到常州人员。当日，因丈夫查某出示不了健康码被商场工作人员阻拦，浦某情绪激动，心生气愤，故意谎称自己从南京来。目前，涉事老人浦某因寻衅滋事已被公安机关依法行政拘留。（唐娟张传明）@中新视频L中新视频的微博视频,,,中新视频,老人进商场拒出示健康码还吐口水,0,0,0,2021-08-09 10:45,微博视频号,,"http://f.video.weibocdn.com/FWUpwjtZlx07ORsNfKSA01041200q2Qc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007203&ssig=0SIkXjiWSv&KID=unistore,video",,,蓝V
