id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4829986999241295,McA67CM59,2673596451,南昌进贤发布,【#工友无偿帮八旬独居老人砌砖#他们什么都不要，只说自己是安徽人】10月28日，浙江东阳。独居八旬老头老太独自砌砖，一群工友无偿前来帮忙。俞阿姨称喊他们喝水也不喝，工钱也不要，在被问及姓名时，他们只说自己是安徽人。热心工友：我们也有父母，老人不容易！@江畔视频L江畔视频的微博视频,,,江畔视频,工友无偿帮八旬独居老人砌砖,0,0,0,2022-10-29 19:15,微博视频号,,"http://f.video.weibocdn.com/o0/yjOPXwcJlx080ldeSqTS01041200cAja0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001867&ssig=Sadt75iHiI&KID=unistore,video",,,蓝V
4829937099604696,McyNDEiCs,1805685140,安徽网,【#工友无偿帮八旬独居老人砌砖#他们什么都不要，只说自己是安徽人】10月28日，浙江东阳。独居八旬老头老太独自砌砖，一群工友无偿前来帮忙。俞阿姨称喊他们喝水也不喝，工钱也不要，在被问及姓名时，他们只说自己是安徽人。热心工友：我们也有父母，老人不容易！@江畔视频L江畔视频的微博视频,,,江畔视频,工友无偿帮八旬独居老人砌砖,2,0,8,2022-10-29 15:56,iPhone客户端,,"http://f.video.weibocdn.com/o0/yjOPXwcJlx080ldeSqTS01041200cAja0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001867&ssig=Sadt75iHiI&KID=unistore,video",,,蓝V
4829936320251884,McyMo13wE,7747272181,新闻姐,【“我们是安徽人”不喝水，也不要工钱，这群安徽工友感动无数人#工友无偿帮八旬独居老人砌砖#】#新闻姐说#最近，一群来自安徽的工友感动了无数人。据浙江教科影视频道的报道：10月28号浙江东阳，一对独居的八旬老夫妻独自砌砖，附近有工友看到了，对老人说“你们这么大岁数还干这个活啊”，于是把衣服一脱说：“我来吧，你下来”。之后有越来越多的工友加入帮忙，老人喊他们喝水也不喝，给他们工钱也不要，问他们姓名也闭口不谈。老人说：你们总得告诉我是哪里人啊，他们只说道“我们是安徽人”。老人最后找到媒体，抹着眼泪说，一定要好好感谢他们。师傅们连连摆手说“听说两位老人79岁了，还要自己砌砖，实在是看着不忍心，我们也有父母，老人不容易啊！要什么钱对不对，看到那个情况谁都会帮一下。”淳朴的笑容，朴实的话语，就像一束温暖的光，照亮人间值得。说实在的，这已经不是简单的举手之劳了，工时、工钱、技术，打工人本身就不易，却见不得他人疾苦，只因心怀怜悯大爱和同理之心，为无亲无故的陌生人无偿付出，没有豪言壮语，只有卷起袖子说干就干，不计得失，不求回报，朴实又善良，仗义又温暖，而当说出那句“我们是安徽人”时，那是发自内心的自豪感。干着最脏最累的活，却用最纯粹干净的灵魂温暖着整个城市，啥也不说了，点赞吧！愿所有善良的人都能被温柔以待，向重情重义热心肠的安徽师傅们致敬！L新闻姐的微博视频,,,,"工友无偿帮八旬独居老人砌砖,新闻姐说",43,21,189,2022-10-29 15:53,微博视频号,,"http://f.video.weibocdn.com/o0/Wy7ngGUFlx080mEDSf3O01041200MGRT0E010.mp4?label=mp4_720p&template=720x1268.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001867&ssig=seTt4Y8sza&KID=unistore,video",,,红V
4829933950468772,McyIz1XWQ,1097019341,安徽交通广播,【#工友无偿帮八旬独居老人砌砖#他们什么都不要，只说自己是安徽人】10月28日，浙江东阳。独居八旬老头老太独自砌砖，一群工友无偿前来帮忙。俞阿姨称喊他们喝水也不喝，工钱也不要，在被问及姓名时，他们只说自己是安徽人。热心工友：我们也有父母，老人不容易！@江畔视频L江畔视频的微博视频,,,江畔视频,工友无偿帮八旬独居老人砌砖,0,0,2,2022-10-29 15:44,iPhone客户端,,"http://f.video.weibocdn.com/o0/yjOPXwcJlx080ldeSqTS01041200cAja0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001867&ssig=Sadt75iHiI&KID=unistore,video",,,蓝V
4829926769038372,McywYBVic,7756786365,文登融媒,[cp]【#工友无偿帮八旬独居老人砌砖#他们什么都不要，只说自己是安徽人】10月28日，浙江东阳。独居八旬老头老太独自砌砖，一群工友无偿前来帮忙。俞阿姨称喊他们喝水也不喝，工钱也不要，在被问及姓名时，他们只说自己是安徽人。热心工友：我们也有父母，老人不容易！@江畔视频L江畔视频的微博视频[/cp],,,江畔视频,工友无偿帮八旬独居老人砌砖,1,1,1,2022-10-29 15:15,微博视频号,,"http://f.video.weibocdn.com/o0/yjOPXwcJlx080ldeSqTS01041200cAja0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001867&ssig=Sadt75iHiI&KID=unistore,video",,,蓝V
4829858342899017,McwKCcaal,7490505562,垦利区融媒体中心官方微博,【#工友无偿帮八旬独居老人砌砖#他们什么都不要，只说自己是安徽人】10月28日，浙江东阳。独居八旬老头老太独自砌砖，一群工友无偿前来帮忙。俞阿姨称喊他们喝水也不喝，工钱也不要，在被问及姓名时，他们只说自己是安徽人。热心工友：我们也有父母，老人不容易！@江畔视频L江畔视频的微博视频,,,江畔视频,工友无偿帮八旬独居老人砌砖,0,0,0,2022-10-29 10:43,微博视频号,,"http://f.video.weibocdn.com/o0/yjOPXwcJlx080ldeSqTS01041200cAja0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001867&ssig=Sadt75iHiI&KID=unistore,video",,,蓝V
4829835954227477,McwavhJL7,2030806735,北方新报,【#工友无偿帮八旬独居老人砌砖#他们什么都不要，只说自己是安徽人】10月28日，浙江东阳。独居八旬老头老太独自砌砖，一群工友无偿前来帮忙。俞阿姨称喊他们喝水也不喝，工钱也不要，在被问及姓名时，他们只说自己是安徽人。热心工友：我们也有父母，老人不容易！@江畔视频L江畔视频的微博视频,,,江畔视频,工友无偿帮八旬独居老人砌砖,0,0,0,2022-10-29 09:14,微博视频号,,"http://f.video.weibocdn.com/o0/yjOPXwcJlx080ldeSqTS01041200cAja0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001867&ssig=Sadt75iHiI&KID=unistore,video",,,蓝V
4829823497143850,McvQptYro,1859661774,金华磊哥,【#工友无偿帮八旬独居老人砌砖#他们什么都不要，只说自己是安徽人】10月28日，浙江东阳。独居八旬老头老太独自砌砖，一群工友无偿前来帮忙。俞阿姨称喊他们喝水也不喝，工钱也不要，在被问及姓名时，他们只说自己是安徽人。热心工友：我们也有父母，老人不容易！金华超话L江畔视频的微博视频,,,,工友无偿帮八旬独居老人砌砖,3,3,25,2022-10-29 08:25,金华超话,,"http://f.video.weibocdn.com/o0/yjOPXwcJlx080ldeSqTS01041200cAja0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001867&ssig=Sadt75iHiI&KID=unistore,video",,,金V
4829679288320556,Mcs5OyUyw,2175409884,商洛中院,【#工友无偿帮八旬独居老人砌砖#他们什么都不要，只说自己是安徽人】10月28日，浙江东阳。独居八旬老头老太独自砌砖，一群工友无偿前来帮忙。俞阿姨称喊他们喝水也不喝，工钱也不要，在被问及姓名时，他们只说自己是安徽人。热心工友：我们也有父母，老人不容易！@江畔视频L江畔视频的微博视频,,,江畔视频,工友无偿帮八旬独居老人砌砖,0,0,1,2022-10-28 22:52,微博视频号,,"http://f.video.weibocdn.com/o0/yjOPXwcJlx080ldeSqTS01041200cAja0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001867&ssig=Sadt75iHiI&KID=unistore,video",,,蓝V
4829667594340590,McrMXidbw,7478754187,爱你的第365天rong,#工友无偿帮八旬独居老人砌砖#真的被这些工友们感动到了，虽然他们做的力所能及的事情，但是他们一直在发光发热，在帮助别人！,,,,工友无偿帮八旬独居老人砌砖,0,0,0,2022-10-28 22:05,新浪微博4G版,,,,,普通用户
4829667305459693,McrMumUjz,7614771685,看到你我就盺动了,#工友无偿帮八旬独居老人砌砖#真的被这个视频感动到了，我觉得每个人都有老的时候，都不容易，所以我们多一些善良和温暖，做一些力所能及的事情！,,,,工友无偿帮八旬独居老人砌砖,0,0,0,2022-10-28 22:04,新浪微博4G版,,,,,普通用户
4829666625721790,McrLoo0uW,7768858541,海边有个云朵屋,#工友无偿帮八旬独居老人砌砖#对于工友来说不是太难的一件事，但是对于老人来说简直就是太不容易了，有了工友们的帮忙，工程就可以很快的竣工了，谢谢这些充满爱心❤️的工友,,,,工友无偿帮八旬独居老人砌砖,0,0,0,2022-10-28 22:01,新浪微博4G版,,,,,普通用户
4829666488355137,McrLaz3yh,7742558459,缠月天涯翱翔九霄,#工友无偿帮八旬独居老人砌砖#真的会为这一群温柔的人而感动呢，因为我觉得他们做的很多事情有在帮助别人,,,,工友无偿帮八旬独居老人砌砖,0,0,0,2022-10-28 22:01,HUAWEI Mate 30 5G,,,,,普通用户
