id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4887909411325477,MASVn5yOF,2328007923,灰产圈_,发布了头条文章：《男子好心扶起摔倒老人，居然被质问“撞人还想走？”真就为老不尊啊》#2名毕业生毫不犹豫扶起摔倒老人##学生们冒大雨多次扶起摔倒路人##扶老人##父母当街去扶老人孩子不甘落后##扶老人被讹寻证人##扶老人以死证清白##扶老人被判赔7万##民警一手挑担一手搀扶老人过马路##扶老人被讹##重庆民警搀扶老人过马路##海南女子扶老人被家属索赔24万##扶老人险##外卖员送餐途中搀扶老人过马路##志愿者扶老人被误会肇事逃逸##灰产圈#O男子好心扶起摔倒老人，居然被质问“撞人还想走？”真就为老不尊啊,http://t.cn/A6N2uv8D,,,"2名毕业生毫不犹豫扶起摔倒老人,学生们冒大雨多次扶起摔倒路人,扶老人,父母当街去扶老人孩子不甘落后,扶老人被讹寻证人,扶老人以死证清白,扶老人被判赔7万,民警一手挑担一手搀扶老人过马路,扶老人被讹,重庆民警搀扶老人过马路,海南女子扶老人被家属索赔24万,扶老人险,外卖员送餐途中搀扶老人过马路,志愿者扶老人被误会肇事逃逸,灰产圈",0,0,1,2023-04-07 15:17,微博 weibo.com,,,,山东,黄V
4653164064413257,Kmj2uiw5z,1459946330,安平新家,#2名毕业生毫不犹豫扶起摔倒老人#为敢扶点赞👍社会风气被带坏了，就如凤/凰/卫/视，居然利用媒体公信力诈骗了7万人近百亿！事后忙着切割和甩锅,,,,2名毕业生毫不犹豫扶起摔倒老人,160,175,1230,2021-06-28 20:43,荣耀10青春版,"https://wx3.sinaimg.cn/large/5705035aly1gry9m6xdmbj20ja0jagn8.jpg,https://wx2.sinaimg.cn/large/5705035aly1gry9m76dlpj20gm0b4q43.jpg,https://wx2.sinaimg.cn/large/5705035aly1gry9m7f0emj20m80hsn00.jpg,https://wx3.sinaimg.cn/large/5705035aly1gry9m7qwozj20us0nh0wt.jpg,https://wx3.sinaimg.cn/large/5705035aly1gry9m7z417j20ut0zkjws.jpg,https://wx3.sinaimg.cn/large/5705035aly1gry9m8ch0jj20yi0yfth5.jpg,https://wx3.sinaimg.cn/large/5705035aly1gry9m8qiozj20yi0yfth5.jpg,https://wx4.sinaimg.cn/large/5705035aly1gry9m8yfvzj20zk0qon2i.jpg,https://wx1.sinaimg.cn/large/5705035aly1gry9m98aaej20mv0jrabi.jpg",,,,
4772590579093837,LuspzC9IN,6120828502,胭脂雪6120828502,#2名毕业生毫不犹豫扶起摔倒老人#提倡新风，惩治不良势力给老百姓带来的灾难#凤凰卫视##凤凰金融911事件#,,,,"2名毕业生毫不犹豫扶起摔倒老人,凤凰卫视,凤凰金融911事件",0,1,1230,2022-05-24 10:02,Android客户端,,,4653164064413257,湖北,普通用户
4716889265933742,L75mKoTDw,6600509812,颜荷伊琳蔻中药面霜总供货,#薇娅们赚那么多为什么还逃税##2022新年晚安计划##2名毕业生毫不犹豫扶起摔倒老人##伊琳蔻中药面霜#（颜荷：zty417235298）中药面霜好评👍你和小仙女的距离是一套中药面霜+水疗三宝！深层补水滋润嫩滑消炎退红祛痘，靶向渗透淡化黑色素美白淡斑，这效果爱了吗？L颜荷伊琳蔻中药面霜总供货的微博视频,,忻州·代县,,"薇娅们赚那么多为什么还逃税,2022新年晚安计划,2名毕业生毫不犹豫扶起摔倒老人,伊琳蔻中药面霜",0,0,0,2021-12-21 17:04,微博视频号,,"http://f.video.weibocdn.com/o0/ydOpWWO4lx07Sl5EClgY01041200aUec0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724098&ssig=NxOrzwovbc&KID=unistore,video",,,普通用户
4712416082661449,L5cZWbamB,6131237489,老李乐观天下,扶老人要上保险，这是保错了对象#每天带饭真的很丢人吗##讨好型人格是如何形成的##教资69分有多痛苦##女心理师中的咨询操作专业吗##快递未上门老人取件猝死谁之过##警方调查孙卓符建涛户口办理问题##宁波发现确诊病例#@热点新闻@新闻晨报@微博广告L老李闲观天下的微博视频,,,"热点新闻,新闻晨报,微博广告","每天带饭真的很丢人吗,讨好型人格是如何形成的,教资69分有多痛苦,女心理师中的咨询操作专业吗,快递未上门老人取件猝死谁之过,警方调查孙卓符建涛户口办理问题,宁波发现确诊病例",4,3,4,2021-12-09 08:50,微博视频号,,"http://f.video.weibocdn.com/o0/GVyLxHuplx07S1oZ2MGI01041200Ic1c0E010.mp4?label=mp4_hd&template=854x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724113&ssig=V6KykeLWk5&KID=unistore,video",,,
4712482431828639,L5eIX7FIb,5860129794,deardank,#老人摔倒扶不扶##2名毕业生毫不犹豫扶起摔倒老人##老人摔倒诬陷学生##司机搀扶摔倒老人被判10万##日常吐槽#正能量超话#微博视频号##34岁研究生猝死学校导师称与他无关##大学生辱骂外卖员致其辞职##在高质量发展中赢得历史主动#,,,,"老人摔倒扶不扶,2名毕业生毫不犹豫扶起摔倒老人,老人摔倒诬陷学生,司机搀扶摔倒老人被判10万,日常吐槽,微博视频号,34岁研究生猝死学校导师称与他无关,大学生辱骂外卖员致其辞职,在高质量发展中赢得历史主动",0,0,4,2021-12-09 13:13,HUAWEI Mate 20 Pro,,,4712416082661449,,普通用户
4686433493189508,KAgwRdnJG,7452068877,人民网评,#2名毕业生毫不犹豫扶起摔倒老人##男子扶摔倒老人反被讹#尊老敬老是中华民族的传统美德。现如今越来越多的人愿意主动扶起摔倒的老人，帮助老人，这是践行爱老助老精神的最好体现。本案中，在有监控证据的情况下，法院一审判决大学生胜诉，还其清白。此类事件值得我们深思，如果没有监控怎么办？是不是我们每次做好事都需要先思量一下，留下证据？善良偶受伤害，也许只是阵痛。但若是这种不良社会风气蔓延，世界就会一片荒凉。社会上“倚老卖老”的毕竟是少数，个别不讲理的老人，不能代表所有老人，全社会的文明程度，正在朝着越来越好的方向发展。我们欣喜地看到，随着法治国家的建设，善良的人进一步得到了法律的支持，社会风气正在不断扭转。奉劝那些无理取闹，为了自己利益伤害他人善行的人，要深刻反思，一时的得逞可能换来更大的损失，早日悔改方能活得快乐。人人向善，国家向上。让美德植根每个人的心灵，汇聚在一起支撑起全社会的好风气，凝心聚力，让爱的同心圆越画越大。,,,,"2名毕业生毫不犹豫扶起摔倒老人,男子扶摔倒老人反被讹",2,24,59,2021-09-28 16:04,微博 weibo.com,,,,,蓝V
4654497203227567,KmRIIdxDx,77743028,普法小杨,#2名毕业生毫不犹豫扶起摔倒老人#值得敬佩平心而论我自己做不到,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,0,2021-07-02 13:01,iPhone客户端,,,,,普通用户
4654303098701674,KmMFDAvHA,6328761778,2016球场围网厂家,#2名毕业生毫不犹豫扶起摔倒老人##2名毕业生毫不犹豫扶起摔倒老人#QQ突突突.,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,0,2021-07-02 00:09,荣耀 9X,,,,,普通用户
4654200048323966,KmJZqyVrw,3885795212,金台法院,#2名毕业生毫不犹豫扶起摔倒老人#【有意义的毕业礼！#2名大学生扶摔倒老人获见义勇为奖励#】近日，江苏南京，一骑电动车老人不慎摔倒在快速路上，腿被压住无法动弹。两名正在站台等车的大学生看到后，立即冲过来施救，将老人扶到路边安全区域。路过的民警联系上老人家人后，两人便默默离开了。经多方查找，警方找到了这两名刚刚毕业的大学生，并给予他们见义勇为奖励和“石城百姓”聘书。via.荔枝新闻L荔枝新闻的微博视频,,,,"2名毕业生毫不犹豫扶起摔倒老人,2名大学生扶摔倒老人获见义勇为奖励",0,0,0,2021-07-01 17:20,iPhone客户端,,"http://f.video.weibocdn.com/qQADgad9lx07NOi54nGo01041200CKvo0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724311&ssig=hmUXI0vEDf&KID=unistore,video",,,蓝V
4653936839232471,KmD8TCJMP,2001762901,微博菁英校园,#毕业季#【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。#未来你好#L扬子晚报的微博视频,,,,"毕业季,2名毕业生毫不犹豫扶起摔倒老人,未来你好",0,0,0,2021-06-30 23:54,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724312&ssig=Uu8OXV26zM&KID=unistore,video",,,蓝V
4653792090133630,Kmznr0yLk,3928037514,济宁中院,#2名毕业生毫不犹豫扶起摔倒老人#【见义勇为！民法典为你撑腰！】逛菜场钱包被偷，小偷被抓自损财物，有谁赔？夏天，泳池，意外晕倒被人救，可惜假牙不见了......别担心，民法典为见义勇为者撑腰！湖南高院×人民法院新闻传媒总社联合出品《民法典普法视频》！#走近民法典#L人民法院报的微博视频,,,,"2名毕业生毫不犹豫扶起摔倒老人,走近民法典",1,1,2,2021-06-30 14:19,微博视频号,,"http://f.video.weibocdn.com/h2yn798qlx07Gnpfzjvi01041202btW50E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724312&ssig=3MoWdyP7AV&KID=unistore,video",,,蓝V
4653757046198164,KmysUq0qo,3469830734,空港融媒,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京。一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。L扬子晚报的微博视频,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,0,2021-06-30 12:00,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724312&ssig=Uu8OXV26zM&KID=unistore,video",,,蓝V
4653743566227454,Kmy7aq82O,2865472804,鄞州检察,【有意义的毕业礼！#2名大学生扶摔倒老人获见义勇为奖励#】近日，江苏南京，一骑电动车老人不慎摔倒在快速路上，腿被压住无法动弹。两名正在站台等车的大学生看到后，立即冲过来施救，将老人扶到路边安全区域。路过的民警联系上老人家人后，两人便默默离开了。经多方查找，警方找到了这两名刚刚毕业的大学生，并给予他们见义勇为奖励和“石城百姓”聘书。#2名毕业生毫不犹豫扶起摔倒老人#L荔枝新闻的微博视频,,,,"2名大学生扶摔倒老人获见义勇为奖励,2名毕业生毫不犹豫扶起摔倒老人",1,0,1,2021-06-30 11:06,微博视频号,,"http://f.video.weibocdn.com/qQADgad9lx07NOi54nGo01041200CKvo0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724312&ssig=T8UUfs6tbQ&KID=unistore,video",,,蓝V
4653743204729327,Kmy6AjQjt,2633486440,奉化检察,【有意义的毕业礼！#2名大学生扶摔倒老人获见义勇为奖励#】近日，江苏南京，一骑电动车老人不慎摔倒在快速路上，腿被压住无法动弹。两名正在站台等车的大学生看到后，立即冲过来施救，将老人扶到路边安全区域。路过的民警联系上老人家人后，两人便默默离开了。经多方查找，警方找到了这两名刚刚毕业的大学生，并给予他们见义勇为奖励和“石城百姓”聘书。#2名毕业生毫不犹豫扶起摔倒老人#L荔枝新闻的微博视频,,,,"2名大学生扶摔倒老人获见义勇为奖励,2名毕业生毫不犹豫扶起摔倒老人",0,0,0,2021-06-30 11:05,微博视频号,,"http://f.video.weibocdn.com/qQADgad9lx07NOi54nGo01041200CKvo0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724312&ssig=T8UUfs6tbQ&KID=unistore,video",,,蓝V
4653743197651066,Kmy6zw6oi,5744238002,海曙检察,【有意义的毕业礼！#2名大学生扶摔倒老人获见义勇为奖励#】近日，江苏南京，一骑电动车老人不慎摔倒在快速路上，腿被压住无法动弹。两名正在站台等车的大学生看到后，立即冲过来施救，将老人扶到路边安全区域。路过的民警联系上老人家人后，两人便默默离开了。经多方查找，警方找到了这两名刚刚毕业的大学生，并给予他们见义勇为奖励和“石城百姓”聘书。#2名毕业生毫不犹豫扶起摔倒老人#L荔枝新闻的微博视频,,,,"2名大学生扶摔倒老人获见义勇为奖励,2名毕业生毫不犹豫扶起摔倒老人",0,0,0,2021-06-30 11:05,微博视频号,,"http://f.video.weibocdn.com/qQADgad9lx07NOi54nGo01041200CKvo0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724312&ssig=T8UUfs6tbQ&KID=unistore,video",,,蓝V
4653720266868225,KmxvAsOJP,7436505958,河南省公益文化传播基金会官方,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。L扬子晚报的微博视频,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,0,2021-06-30 09:33,Android,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724312&ssig=Uu8OXV26zM&KID=unistore,video",,,蓝V
4653624012308877,Kmv0l9GDX,2768688300,热点视频,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。L扬子晚报的微博视频,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,0,2021-06-30 03:11,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724312&ssig=Uu8OXV26zM&KID=unistore,video",,,蓝V
4653492796395717,KmrAHqPOJ,1750344480,北京交通广播,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。@扬子晚报L扬子晚报的微博视频,,,扬子晚报,2名毕业生毫不犹豫扶起摔倒老人,0,1,1,2021-06-29 18:30,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724314&ssig=CVJaDRPcgD&KID=unistore,video",,,蓝V
4653624011784616,Kmv0l7ug8,6524418589,遇见美好,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。L扬子晚报的微博视频,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,2,2021-06-30 03:11,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724312&ssig=Uu8OXV26zM&KID=unistore,video",,,蓝V
4653475671048968,Kmr954oSQ,6203779723,湖南热点集,#2名毕业生毫不犹豫扶起摔倒老人#【见义勇为！民法典为你撑腰！】逛菜场钱包被偷，小偷被抓自损财物，有谁赔？夏天，泳池，意外晕倒被人救，可惜假牙不见了......别担心，民法典为见义勇为者撑腰！湖南高院×人民法院新闻传媒总社联合出品《民法典普法视频》！#走近民法典#L人民法院报的微博视频,,,,"2名毕业生毫不犹豫扶起摔倒老人,走近民法典",1,0,1,2021-06-29 17:22,微博视频号,,"http://f.video.weibocdn.com/h2yn798qlx07Gnpfzjvi01041202btW50E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724314&ssig=3yXP9%2FgQd2&KID=unistore,video",,,黄V
4653472160417345,Kmr3q1Kzn,5477333519,盐城发布,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京。一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。L扬子晚报的微博视频,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,0,2021-06-29 17:08,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724314&ssig=CVJaDRPcgD&KID=unistore,video",,,蓝V
4653471821991325,Kmr2S8m29,2868217834,京山检察院,#2名毕业生毫不犹豫扶起摔倒老人#【有意义的毕业礼！#2名大学生扶摔倒老人获见义勇为奖励#】近日，江苏南京，一骑电动车老人不慎摔倒在快速路上，腿被压住无法动弹。两名正在站台等车的大学生看到后，立即冲过来施救，将老人扶到路边安全区域。路过的民警联系上老人家人后，两人便默默离开了。经多方查找，警方找到了这两名刚刚毕业的大学生，并给予他们见义勇为奖励和“石城百姓”聘书。via.荔枝新闻L荔枝新闻的微博视频,,,,"2名毕业生毫不犹豫扶起摔倒老人,2名大学生扶摔倒老人获见义勇为奖励",0,0,0,2021-06-29 17:06,微博视频号,,"http://f.video.weibocdn.com/qQADgad9lx07NOi54nGo01041200CKvo0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724314&ssig=KkVshkgBKN&KID=unistore,video",,,蓝V
4653468080145908,KmqWQ0BXm,2662253637,长沙铁路运输法院,#普法课堂#你知道什么是见义勇为吗？#2名毕业生毫不犹豫扶起摔倒老人#L江南晚报的微博视频,,,,"普法课堂,2名毕业生毫不犹豫扶起摔倒老人",0,3,0,2021-06-29 16:51,微博视频号,,"http://f.video.weibocdn.com/000gPtmEgx07IGA4ymkD01041200gtxo0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724314&ssig=dyxRHFNK1i&KID=unistore,video",,,蓝V
4653465583747606,KmqSOfIVg,5923382407,钦州反邪,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,0,2021-06-29 16:41,微博网页版,,,,,蓝V
4653465211243389,KmqSd5dsF,5936595732,桂林反邪,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,0,2021-06-29 16:40,微博网页版,,,,,蓝V
4653464611981543,KmqRf8jun,2607677154,马鞍山警方,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。L扬子晚报的微博视频,,,,2名毕业生毫不犹豫扶起摔倒老人,1,1,0,2021-06-29 16:38,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724314&ssig=CVJaDRPcgD&KID=unistore,video",,,蓝V
4653624008114579,Kmv0ky2Yj,1668216997,微博发现,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。L扬子晚报的微博视频,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,2,2021-06-30 03:11,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724335&ssig=L4swMgG6Mp&KID=unistore,video",,,蓝V
4653624008114565,Kmv0ky2Y5,1778857227,微博媒体学院,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。L扬子晚报的微博视频,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,0,2021-06-30 03:11,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724335&ssig=L4swMgG6Mp&KID=unistore,video",,,蓝V
4653624007852567,Kmv0kwWOj,5361563575,微博媒体,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。L扬子晚报的微博视频,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,0,2021-06-30 03:11,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724335&ssig=L4swMgG6Mp&KID=unistore,video",,,蓝V
4653624007590335,Kmv0kvQAL,5710576016,微博媒体视频,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。L扬子晚报的微博视频,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,0,2021-06-30 03:11,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724335&ssig=L4swMgG6Mp&KID=unistore,video",,,蓝V
4653624007590316,Kmv0kvQAs,1773041022,ESG观察,【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。L扬子晚报的微博视频,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,1,2021-06-30 03:11,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724335&ssig=L4swMgG6Mp&KID=unistore,video",,,蓝V
4653603858678668,KmutPApIw,1847256633,微博校园小秘书,#毕业季#【点赞！#2名毕业生毫不犹豫扶起摔倒老人#】6月22日，江苏南京一名骑车老人不慎摔倒，电动车压在腿上致其无法动弹。两名年轻人见状立马冲上去救助，待民警联系上老人家属后默默离开。经多方查找，两名年轻人均为刚刚毕业的大学生。警方为他们颁发了见义勇为奖励和“石城百姓”聘书。#未来你好#L扬子晚报的微博视频,,,,"毕业季,2名毕业生毫不犹豫扶起摔倒老人,未来你好",0,0,0,2021-06-30 01:51,微博视频号,,"http://f.video.weibocdn.com/dWx3lCILlx07NOjoCvRK01041200qCy00E010.mp4?label=mp4_720p&template=1252x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725724335&ssig=L4swMgG6Mp&KID=unistore,video",,,蓝V
4653595024688509,KmufAjFH7,2142651582,安歌岚,#2名毕业生毫不犹豫扶起摔倒老人#,,,,2名毕业生毫不犹豫扶起摔倒老人,0,0,0,2021-06-30 01:16,HUAWEI P40 Pro 5G,,,,,普通用户
4653197668911449,KmjUGBoh3,5789343860,许鲍鲍,#2名毕业生毫不犹豫扶起摔倒老人#为两位少年点赞但我们不禁也要想一想，本是一个很平常的事情，为啥会………,,,,2名毕业生毫不犹豫扶起摔倒老人,0,2,3,2021-06-28 22:57,,https://wx4.sinaimg.cn/large/006jNuNSgy1grydhch6ijj30u011u13z.jpg,,,,黄V
