id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4745820195524955,LjdZxnbib,2328007923,灰产圈_,发布了头条文章：《真人口述：我是怎么骗老人买保健品的？》#保健品#保健品超话#澳洲保健品##90后成保健品购买主力##8旬老人花20万积蓄买保健品##权健保健品乱象##保健品公司老总演讲时身亡##央视曝光保健品新骗局##00后用保健品预防疾病比例最高##售价5000元的保健品进价仅9元##澳洲保健品代购##央视揭保健品店铺是如何忽悠老人的##男性保健品##保健品助力##老年人买保健品要注意什么##为什么老年人沉迷购买保健品##为何老年人更容易陷入保健品骗局##海南食药监:老年人应慎重网购药品保健品##老年人保健品##老年人保健品大套路##保健品诈骗为啥让老年人防不胜防##老年人为何热衷于保健品收藏品##建议社区监管老年人保健品推销人员##团伙冒充医疗专家推销保健品专骗中老年##老年人过度买保健品的原因##老年人为什么喜欢买保健品##央视曝光保健品诈骗老年人套路##茂名重拳整治老年人保健品市场乱象##灰产圈#O真人口述：我是怎么骗老人买保健品的？,http://t.cn/A665MCJT,,,"保健品,澳洲保健品,90后成保健品购买主力,8旬老人花20万积蓄买保健品,权健保健品乱象,保健品公司老总演讲时身亡,央视曝光保健品新骗局,00后用保健品预防疾病比例最高,售价5000元的保健品进价仅9元,澳洲保健品代购,央视揭保健品店铺是如何忽悠老人的,男性保健品,保健品助力,老年人买保健品要注意什么,为什么老年人沉迷购买保健品,为何老年人更容易陷入保健品骗局,海南食药监:老年人应慎重网购药品保健品,老年人保健品,老年人保健品大套路,保健品诈骗为啥让老年人防不胜防,老年人为何热衷于保健品收藏品,建议社区监管老年人保健品推销人员,团伙冒充医疗专家推销保健品专骗中老年,老年人过度买保健品的原因,老年人为什么喜欢买保健品,央视曝光保健品诈骗老年人套路,茂名重拳整治老年人保健品市场乱象,灰产圈",0,1,1,2022-03-11 13:06,微博 weibo.com,,,,,黄V
4500171129681674,J04s0ECE2,1992724560,末夏的小土猪,家里老人受电视广告影响经常网上购买保健品，减肥药，怎么办，做子女的该如何去制止#健康科普汇##健康养生##海南食药监:老年人应慎重网购药品保健品#,,,,"健康科普汇,健康养生,海南食药监:老年人应慎重网购药品保健品",0,0,0,2020-05-02 16:24,iPhone客户端,,,,,普通用户
4169169459122041,Ft1pDCh3H,6373227272,渊虔电商,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-11-01 07:02,皮皮时光机,,,,,普通用户
4163159624904690,Fqv4mkzVU,1877863127,乐在济南,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-10-15 17:01,皮皮时光机,https://wx3.sinaimg.cn/large/6fedead7ly1fkj1e1tgckj20b406yta4.jpg,,,,黄V
4160515716602988,FpohZrHJO,1618646254,三石庆典企划,dandan19961015#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-10-08 09:55,微博 weibo.com,https://wx1.sinaimg.cn/large/607a94eegy1fkalqougw4j20b406yta4.jpg,,,,普通用户
4150480890414802,FlbeN1JUm,1822579804,安顺小人物,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-09-10 17:20,皮皮时光机,https://wx1.sinaimg.cn/large/6ca25c5cly1fjel9abfgkj20b406yta4.jpg,,,,黄V
4147253314716582,FjPh1jMZU,1235965772,鲜蔬优果,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-09-01 19:35,皮皮时光机,,,,,普通用户
4141397881529912,FhmWM6q00,3927873061,翘楚东西南北风,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-08-16 15:47,皮皮时光机,https://wx1.sinaimg.cn/large/ea1e9625ly1film36kw04j20b406yta4.jpg,,,,黄V
4139962746495357,FgLC2rfJP,6334842176,新港环保设备,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-08-12 16:44,皮皮时光机,https://wx1.sinaimg.cn/large/006UIlPOly1fih19k93b8j30b406yta4.jpg,,,,普通用户
4136955639731889,FfvnREPHX,2706550362,Freestyle-hm,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-08-04 09:35,皮皮时光机,https://wx1.sinaimg.cn/large/a152ae5aly1fi7fwjic5gj20b406yta4.jpg,,,,普通用户
4136288548981800,Ffe1UBGzK,3358405672,许昌民政,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-08-02 13:25,皮皮时光机,,,,,蓝V
4123013459040793,F9EGtBVVf,1764916842,Future-S中国管理论坛,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-06-26 22:14,皮皮时光机,,,,,普通用户
4122923008697174,F9CkAAux0,3716203833,向传龙微营销,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-06-26 16:15,皮皮时光机,https://wx4.sinaimg.cn/large/dd80c539ly1fgyoa0z950j20b406yta4.jpg,,,,普通用户
4101962180541503,F0P2O2gRV,3037878623,拾行情书,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-04-29 20:04,皮皮时光机,https://wx3.sinaimg.cn/large/b512595fly1ff3syld20aj20b406ygm9.jpg,,,,黄V
4101938285153106,F0OqglCyC,1703853960,不怕高,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-04-29 18:29,皮皮时光机,https://wx1.sinaimg.cn/large/658ebf88ly1ff3q7sulmsj20b406yta4.jpg,,,,黄V
4100677200533040,F0hCg2eFq,5228139137,养生美容护肤丶小知识,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,1,0,2,2017-04-26 06:58,皮皮时光机,https://wx3.sinaimg.cn/large/005HOJONly1fezpdska9wj30b406yta4.jpg,,,,黄V
4099729350363619,EFQpN1wAP,5489588321,老张谈健康生活,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-04-23 16:11,皮皮时光机,https://wx1.sinaimg.cn/large/005ZvKH7ly1fewoiuz9j8j30b406yta4.jpg,,,,黄V
4098518799093838,EFkVhC9IO,1907291623,厦门玖信金属有限公司,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,2,0,4,2017-04-20 08:01,皮皮时光机,,,,,普通用户
4097514527683139,EEUNuweJB,6160415151,永就健康,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-04-17 13:30,皮皮时光机,,,,,普通用户
4093476792513241,EDdL1axO9,6052093542,承恩健康科技,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-04-06 10:06,皮皮时光机,,,,,普通用户
4086128418385272,EA8ANzbok,5271301712,明明白白的这颗心,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-03-17 03:26,皮皮时光机,https://wx2.sinaimg.cn/large/005KJQnmly1fdpah82xacj30b406yta4.jpg,,,,黄V
4080081921881393,ExBio7Tr3,2712978081,小编说新闻,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-02-28 10:59,搞笑达人,https://ww4.sinaimg.cn/large/a1b4c2a1jw1fd601q6fb8j20b406ywf6.jpg,,,,黄V
4076447016930364,Ew4JDt4U4,5253040490,我现在只想睡一好觉,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-02-18 10:16,皮皮时光机,https://ww2.sinaimg.cn/large/005JvdNwjw1fcuel1ixvoj30b406y74z.jpg,,,,黄V
4070975513430897,EtMoDeox3,1842200401,周晓刚_汽车互联网分析师,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-02-03 07:54,皮皮时光机,https://ww1.sinaimg.cn/large/6dcdbf51jw1fccy6vrj7oj20b406y74z.jpg,,,,黄V
4066641031833639,ErXDx7H0P,5283627321,谢大扳手的橙子,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-01-22 08:50,皮皮时光机,https://ww4.sinaimg.cn/large/005LzyPvjw1fbz4dsa6tgj30b406ydgj.jpg,,,,黄V
4065821250307253,ErCjj1hVH,5148688058,东莞市川泽电子公司,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-01-20 02:33,皮皮时光机,,,,,蓝V
4064105701214449,EqTGi55VT,1051800142,悄悄藏在心底wa,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2017-01-15 08:56,皮皮时光机,https://ww3.sinaimg.cn/large/3eb1324ejw1fbr17cl4asj20b406ydgj.jpg,,,,黄V
4035729527441718,EeZugvdVI,5679558619,馥物姑娘,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,9,0,0,2016-10-29 01:39,皮皮时光机,https://ww1.sinaimg.cn/large/006cmQEbjw1f98i8u1y4kj30b406ymxv.jpg,,,,普通用户
4034179870377859,EelaP1Aiv,3819145550,会商宝官网,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2016-10-24 19:01,皮皮时光机,,,,,普通用户
4031854816660332,EdmGJrWEI,5679188667,肥猫阿钩,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2016-10-18 09:02,皮皮时光机,https://ww3.sinaimg.cn/large/006clipdjw1f8w58oe3gkj30b406ymxv.jpg,,,,普通用户
4030557619039042,EcOWtBVt0,5940937843,晨之晖旗舰店,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2016-10-14 19:08,皮皮时光机,,,,,普通用户
4028317373820689,EbSFbg1W1,6016680925,温州鸣悦集电子商务有限公司,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2016-10-08 14:46,皮皮时光机,https://ww2.sinaimg.cn/large/006zbnyJjw1f8kuyyygasj30b406yq3n.jpg,,,,普通用户
4022087297696118,E9gAFwi6W,2658653875,久和咨询,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。但是：#环保超市#获得美国#犹太洁食认证#放心购买！,,,,"海南食药监：老年人应慎重网购药品保健品,环保超市,犹太洁食认证",0,0,0,2016-09-21 10:10,皮皮时光机,https://ww3.sinaimg.cn/large/9e77d6b3jw1f80zggs0ecj20b406yjs2.jpg,,,,普通用户
4022087297695048,E9gAFwhPG,3940438284,首都微事通,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。但是：#环保超市#获得美国#犹太洁食认证#放心购买！,,,,"海南食药监：老年人应慎重网购药品保健品,环保超市,犹太洁食认证",0,0,0,2016-09-21 10:10,皮皮时光机,https://ww1.sinaimg.cn/large/eade510cjw1f80zggncw4j20b406yq3n.jpg,,,,普通用户
4006248074246965,E2CxxhOPr,5900809500,医鸣健康,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2016-08-08 17:10,皮皮时光机,,,,,普通用户
3989979665291300,DBKMumcvy,3183530724,石见平v,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2016-06-24 19:45,TCL乐玩2C,https://ww1.sinaimg.cn/large/bdc0d2e4jw1f56jy2qwhwj20b406yjs3.jpg,,,,黄V
3964590004161256,Dr6hqhsx2,2126916585,麦格雷兜,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2016-04-15 18:16,皮皮时光机,https://ww3.sinaimg.cn/large/7ec62be9jw1f2xjzfosg4j20b406yq3n.jpg,,,,黄V
3960894306048553,Dpy8Cpnvj,5692194823,华夏易联,#海南食药监：老年人应慎重网购药品保健品#海南食药监部门提醒，网上购药时，要验证网站合法性，看其网站首页的显著位置上有没有国家食品药品监管部门核发的《互联网药品交易服务资格证书》，如没有，不能和其交易。其次，要理智对待药品广告，在没有医嘱的情况下不能盲目服药，不要在网上买处方药。,,,,海南食药监：老年人应慎重网购药品保健品,0,0,0,2016-04-05 13:30,皮皮时光机,,,,,普通用户
