id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4988699709800909,NBdu2F7Fb,3860033349,潍坊市中级人民法院,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费",0,0,0,2024-01-10 18:22,微博视频号,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997883&ssig=LRZtqhHsh1&KID=unistore,video",,,蓝V
4988200682522665,NB0vaaAg9,5091956958,拱墅检察,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费",2,0,7,2024-01-09 09:19,微博视频号,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997883&ssig=LRZtqhHsh1&KID=unistore,video",,,蓝V
4988187422753264,NB09Mbyfu,2687297233,阳光检察-寿光,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费",0,0,0,2024-01-09 08:27,微博视频号,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997883&ssig=LRZtqhHsh1&KID=unistore,video",,,蓝V
4987863565600773,NARJqnv13,3912076973,陕西高院,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频#陕法微课堂#,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费,陕法微课堂",2,5,5,2024-01-08 11:00,微博视频号,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997883&ssig=LRZtqhHsh1&KID=unistore,video",,,
4988036222550350,NAWdUaHsG,2175409884,商洛中院,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费",0,0,5,2024-01-08 22:26,iPhone 11,,,4987863565600773,,蓝V
4987969410434224,NAUu91OXC,5558553462,漳县检察,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费",0,0,0,2024-01-08 18:00,Android,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997883&ssig=LRZtqhHsh1&KID=unistore,video",,,蓝V
4987949796036475,NATYvpkmv,5699428525,临潼检察,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费",0,0,1,2024-01-08 16:42,微博视频号,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997883&ssig=LRZtqhHsh1&KID=unistore,video",,,蓝V
4987934002122084,NATz28U3a,2239255854,金牛法院,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费",0,5,5,2024-01-08 15:40,微博视频号,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997883&ssig=LRZtqhHsh1&KID=unistore,video",,,蓝V
4987926119188116,NATmjCyfq,5078003525,武昌检察,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费",14,1,12,2024-01-08 15:08,微博视频号,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997883&ssig=LRZtqhHsh1&KID=unistore,video",,,蓝V
4987921410560218,NATeJ2lJM,3720164417,紫阳法院,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频#陕法微课堂#,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费,陕法微课堂",0,0,0,2024-01-08 14:49,iPhone客户端,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997883&ssig=LRZtqhHsh1&KID=unistore,video",,,蓝V
4987905849689979,NASPCEENZ,3237437267,城阳检察,#小鲁说事##老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频,,,,"小鲁说事,老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费",0,0,1,2024-01-08 13:48,微博视频号,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997885&ssig=2xHmuhkifN&KID=unistore,video",,,蓝V
4987876664154972,NAS4yhqTG,2618613125,石泉法院,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频#陕法微课堂#,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费,陕法微课堂",0,0,0,2024-01-08 11:52,微博视频号,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997885&ssig=2xHmuhkifN&KID=unistore,video",,,蓝V
4987872870402500,NARYr1GHW,3891514878,未央法院,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频#陕法微课堂#,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费,陕法微课堂",0,0,0,2024-01-08 11:37,Android,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997885&ssig=2xHmuhkifN&KID=unistore,video",,,蓝V
4987857297739222,NARzjwtka,5492440014,日照检察,#老人带娃可以要求子女支付费用吗#？【关注！#孩子丢给老人抚养被判支付带孙费#】江苏的张乙与林某在同居期间育有一子张丙，后来两人发生矛盾后分手。从2018年开始，3岁的张丙就一直跟随张乙的母亲生活，老人尽心尽力带娃，承担了孙子的教育费、医疗费等费用。这几年，老人在经济上越来越吃紧，担心孩子受苦，再三纠结后将孩子的父母告上了法庭，要求他们支付已经垫付的孩子抚养费用。法官表示，抚养子女是父母的应尽的义务，在父母有抚养能力的情况之下，爷爷奶奶对孙子孙女没有抚养的法定义务。同时法院也考虑到，老人带娃会产生一定的费用，最终判决两名被告向老人支付代为抚养孙子的费用。在案件判决后，法官也对两名被告进行家庭教育指导，要求他们今后承担起对未成年子女的的抚养、教育和保护等法定义务。L荔枝新闻的微博视频,,,,"老人带娃可以要求子女支付费用吗,孩子丢给老人抚养被判支付带孙费",0,0,0,2024-01-08 10:35,iPhone客户端,,"http://f.video.weibocdn.com/o0/OzmPsJfulx08bvD3JqMw01041200urVx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997885&ssig=2xHmuhkifN&KID=unistore,video",,,蓝V
